City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bilibino,68.0546,166.4372,7.51,41,0,0.88,RU,1694059025
1,la ronge,55.1001,-105.2842,12.14,76,75,2.06,CA,1694059026
2,west island,-12.1568,96.8225,26.99,69,40,5.14,CC,1694059026
3,vila franca do campo,37.7167,-25.4333,21.23,87,89,4.51,PT,1694058792
4,mount pearl,47.5166,-52.7813,20.19,95,20,6.17,CA,1694058788
5,fale old settlement,-9.3852,-171.2468,27.95,78,41,6.02,TK,1694059027
6,adamstown,-25.066,-130.1015,19.38,74,9,7.04,PN,1694059027
7,kerman,30.2832,57.0788,18.92,26,0,2.06,IR,1694059028
8,bayou cane,29.6241,-90.7512,28.33,84,9,1.78,US,1694059028
9,grytviken,-54.2811,-36.5092,-5.22,77,16,4.52,GS,1694058784
10,nar'yan-mar,67.6713,53.087,7.84,92,100,8.16,RU,1694059028
11,thompson,55.7435,-97.8558,10.09,81,100,1.54,CA,1694058807
12,lihue,21.9789,-159.3672,29.58,71,40,5.14,US,1694058783
13,mulayjah,27.271,48.4242,34.46,13,0,3.54,SA,1694059029
14,port mathurin,-19.6833,63.4167,22.52,74,6,4.54,MU,1694059029
15,olonkinbyen,70.9221,-8.7187,6.35,98,100,5.05,SJ,1694058773
16,luderitz,-26.6481,15.1594,13.26,66,93,5.07,NA,1694059030
17,hawaiian paradise park,19.5933,-154.9731,26.73,81,40,4.12,US,1694059030
18,albany,42.6001,-73.9662,23.74,89,0,0.89,US,1694059031
19,saint augustine beach,29.8505,-81.2654,26.15,78,6,1.54,US,1694059031
20,hermanus,-34.4187,19.2345,11.18,83,21,4.94,ZA,1694058779
21,shakiso,5.75,38.9167,15.83,95,97,0.8,ET,1694059031
22,invercargill,-46.4,168.35,13.9,76,22,6.26,NZ,1694059032
23,edinburgh of the seven seas,-37.0676,-12.3116,13.62,81,100,13.1,SH,1694059032
24,kenora,49.8167,-94.4337,11.54,76,75,2.06,CA,1694059032
25,ilulissat,69.2167,-51.1,1.18,99,100,2.55,GL,1694059032
26,isafjordur,66.0755,-23.124,10.27,95,100,0.96,IS,1694059032
27,keflavik,64.0049,-22.5624,10.95,93,75,2.06,IS,1694058781
28,coxen hole,16.3244,-86.5366,28.6,89,20,2.57,HN,1694059033
